condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
RP,0.032,0.016,0.048,0.008,23.569,-0.5499999999999998,37.97435897435897
FTI,0.033,0.015,0.051,0.009,42.823,-0.5499999999999998,37.97435897435897
Miss,0.021,0.01,0.032,0.005,27.657,-0.5499999999999998,38.987179487179496
Hit,0.014,0.003,0.025,0.005,31.407,-0.5499999999999998,38.987179487179496
RP,0.02,0.01,0.031,0.005,23.642,-0.5499999999999998,38.987179487179496
FTI,0.022,0.01,0.034,0.006,45.792,-0.5499999999999998,38.987179487179496
Miss,0.013,0.006,0.02,0.003,28.116,-0.5499999999999998,40.0
Hit,0.009,0.002,0.016,0.003,32.263,-0.5499999999999998,40.0
RP,0.013,0.006,0.019,0.003,23.703,-0.5499999999999998,40.0
FTI,0.014,0.006,0.021,0.004,48.339,-0.5499999999999998,40.0
Miss,2.332,0.358,4.305,0.961,26.365,-0.5,0.5
Hit,2.522,0.509,4.535,0.984,29.025,-0.5,0.5
RP,2.603,0.674,4.531,0.933,23.462,-0.5,0.5
FTI,3.937,1.795,6.08,1.059,38.919,-0.5,0.5
Miss,0.951,0.297,1.606,0.319,27.222,-0.5,1.5128205128205128
Hit,1.103,0.433,1.774,0.329,30.605,-0.5,1.5128205128205128
RP,1.105,0.47,1.741,0.308,23.576,-0.5,1.5128205128205128
FTI,1.299,0.576,2.022,0.359,43.456,-0.5,1.5128205128205128
Miss,0.793,0.369,1.217,0.207,26.907,-0.5,2.525641025641025
Hit,0.735,0.302,1.169,0.212,30.022,-0.5,2.525641025641025
RP,0.841,0.429,1.254,0.2,23.536,-0.5,2.525641025641025
FTI,0.891,0.426,1.356,0.231,41.763,-0.5,2.525641025641025
Miss,0.787,0.476,1.098,0.152,27.169,-0.5,3.5384615384615383
Hit,0.891,0.572,1.21,0.156,30.509,-0.5,3.5384615384615383
RP,0.775,0.473,1.078,0.146,23.568,-0.5,3.5384615384615383
FTI,0.686,0.342,1.029,0.17,43.18,-0.5,3.5384615384615383
Miss,0.861,0.575,1.148,0.14,28.343,-0.5,4.55128205128205
Hit,0.937,0.642,1.232,0.145,32.709,-0.5,4.55128205128205
RP,0.848,0.572,1.124,0.134,23.714,-0.5,4.55128205128205
FTI,0.714,0.391,1.038,0.161,49.726,-0.5,4.55128205128205
Miss,1.0,0.719,1.281,0.138,34.153,-0.5,5.564102564102564
Hit,0.968,0.671,1.266,0.147,44.02,-0.5,5.564102564102564
RP,0.954,0.692,1.216,0.127,24.413,-0.5,5.564102564102564
FTI,0.97,0.623,1.318,0.175,86.594,-0.5,5.564102564102564
Miss,1.317,0.909,1.724,0.2,31.855,-0.5,6.5769230769230775
Hit,1.12,0.693,1.547,0.211,39.484,-0.5,6.5769230769230775
RP,1.176,0.791,1.561,0.186,24.128,-0.5,6.5769230769230775
FTI,1.401,0.913,1.889,0.245,71.269,-0.5,6.5769230769230775
Miss,1.785,1.135,2.435,0.317,28.163,-0.5,7.589743589743589
Hit,1.525,0.855,2.194,0.329,32.394,-0.5,7.589743589743589
RP,1.582,0.955,2.21,0.304,23.668,-0.5,7.589743589743589
FTI,1.609,0.877,2.341,0.364,48.83,-0.5,7.589743589743589
Miss,2.185,1.418,2.952,0.375,28.052,-0.5,8.602564102564102
Hit,2.032,1.242,2.821,0.388,32.187,-0.5,8.602564102564102
RP,1.933,1.191,2.674,0.359,23.653,-0.5,8.602564102564102
FTI,1.721,0.858,2.583,0.429,48.208,-0.5,8.602564102564102
Miss,2.4,1.662,3.138,0.361,29.017,-0.5,9.615384615384617
Hit,2.248,1.486,3.011,0.375,34.002,-0.5,9.615384615384617
RP,2.085,1.376,2.793,0.343,23.782,-0.5,9.615384615384617
FTI,1.843,0.999,2.687,0.421,53.715,-0.5,9.615384615384617
Miss,2.273,1.685,2.861,0.288,30.246,-0.5,10.628205128205126
Hit,2.064,1.452,2.676,0.302,36.345,-0.5,10.628205128205126
RP,1.935,1.374,2.496,0.272,23.943,-0.5,10.628205128205126
FTI,1.763,1.076,2.45,0.344,61.04,-0.5,10.628205128205126
Miss,1.868,1.473,2.264,0.194,32.572,-0.5,11.64102564102564
Hit,1.646,1.23,2.061,0.206,40.909,-0.5,11.64102564102564
RP,1.573,1.2,1.945,0.18,24.2,-0.5,11.64102564102564
FTI,1.479,1.001,1.958,0.24,76.06,-0.5,11.64102564102564
Miss,1.422,1.165,1.68,0.127,35.739,-0.5,12.653846153846152
Hit,1.218,0.945,1.492,0.136,47.332,-0.5,12.653846153846152
RP,1.207,0.97,1.445,0.115,24.501,-0.5,12.653846153846152
FTI,1.17,0.846,1.495,0.164,98.552,-0.5,12.653846153846152
Miss,1.092,0.9,1.284,0.095,36.507,-0.5,13.666666666666664
Hit,0.916,0.71,1.121,0.102,48.877,-0.5,13.666666666666664
RP,0.956,0.779,1.133,0.086,24.604,-0.5,13.666666666666664
FTI,0.947,0.702,1.192,0.123,104.04,-0.5,13.666666666666664
Miss,0.907,0.721,1.093,0.091,33.511,-0.5,14.67948717948718
Hit,0.753,0.557,0.949,0.097,42.741,-0.5,14.67948717948718
RP,0.819,0.645,0.993,0.084,24.336,-0.5,14.67948717948718
FTI,0.823,0.595,1.051,0.114,82.193,-0.5,14.67948717948718
Miss,0.824,0.62,1.029,0.1,31.056,-0.5,15.692307692307693
Hit,0.684,0.47,0.897,0.105,37.89,-0.5,15.692307692307693
RP,0.756,0.562,0.95,0.094,24.063,-0.5,15.692307692307693
FTI,0.772,0.53,1.014,0.121,65.953,-0.5,15.692307692307693
Miss,0.784,0.557,1.011,0.111,29.425,-0.5,16.705128205128204
Hit,0.66,0.425,0.895,0.116,34.748,-0.5,16.705128205128204
RP,0.733,0.515,0.95,0.105,23.863,-0.5,16.705128205128204
FTI,0.76,0.499,1.021,0.13,55.953,-0.5,16.705128205128204
Miss,0.753,0.5,1.005,0.123,27.916,-0.5,17.71794871794872
Hit,0.661,0.401,0.921,0.128,31.895,-0.5,17.71794871794872
RP,0.728,0.484,0.972,0.118,23.67,-0.5,17.71794871794872
FTI,0.756,0.473,1.039,0.141,47.255,-0.5,17.71794871794872
Miss,0.73,0.441,1.018,0.14,26.736,-0.5,18.73076923076923
Hit,0.68,0.386,0.975,0.144,29.701,-0.5,18.73076923076923
RP,0.729,0.448,1.01,0.136,23.516,-0.5,18.73076923076923
FTI,0.735,0.419,1.05,0.156,40.836,-0.5,18.73076923076923
Miss,0.725,0.386,1.064,0.165,26.188,-0.5,19.743589743589748
Hit,0.71,0.364,1.055,0.169,28.695,-0.5,19.743589743589748
RP,0.729,0.397,1.06,0.16,23.444,-0.5,19.743589743589748
FTI,0.685,0.319,1.052,0.181,37.974,-0.5,19.743589743589748
Miss,0.736,0.333,1.14,0.196,26.064,-0.5,20.756410256410252
Hit,0.734,0.323,1.145,0.201,28.466,-0.5,20.756410256410252
RP,0.725,0.33,1.12,0.191,23.429,-0.5,20.756410256410252
FTI,0.624,0.189,1.059,0.215,37.331,-0.5,20.756410256410252
Miss,0.75,0.278,1.222,0.23,25.888,-0.5,21.76923076923077
Hit,0.738,0.258,1.218,0.234,28.145,-0.5,21.76923076923077
RP,0.719,0.257,1.182,0.224,23.406,-0.5,21.76923076923077
FTI,0.577,0.07,1.084,0.25,36.434,-0.5,21.76923076923077
Miss,0.751,0.222,1.28,0.257,25.55,-0.5,22.78205128205128
Hit,0.714,0.177,1.251,0.262,27.531,-0.5,22.78205128205128
RP,0.71,0.19,1.229,0.251,23.36,-0.5,22.78205128205128
FTI,0.559,-0.005,1.123,0.278,34.741,-0.5,22.78205128205128
Miss,0.73,0.17,1.29,0.272,25.278,-0.5,23.794871794871803
Hit,0.668,0.101,1.235,0.276,27.038,-0.5,23.794871794871803
RP,0.69,0.14,1.241,0.266,23.323,-0.5,23.794871794871803
FTI,0.558,-0.035,1.15,0.291,33.396,-0.5,23.794871794871803
Miss,0.689,0.135,1.243,0.269,25.211,-0.5,24.80769230769231
Hit,0.613,0.052,1.174,0.273,26.918,-0.5,24.80769230769231
RP,0.655,0.11,1.2,0.264,23.314,-0.5,24.80769230769231
FTI,0.547,-0.039,1.133,0.288,33.072,-0.5,24.80769230769231
Miss,0.631,0.119,1.143,0.249,25.296,-0.5,25.820512820512818
Hit,0.561,0.042,1.079,0.253,27.071,-0.5,25.820512820512818
RP,0.602,0.099,1.106,0.244,23.325,-0.5,25.820512820512818
FTI,0.512,-0.031,1.054,0.267,33.484,-0.5,25.820512820512818
Miss,0.559,0.116,1.002,0.215,25.435,-0.5,26.83333333333333
Hit,0.511,0.062,0.961,0.219,27.321,-0.5,26.83333333333333
RP,0.537,0.102,0.973,0.211,23.345,-0.5,26.83333333333333
FTI,0.456,-0.015,0.927,0.232,34.166,-0.5,26.83333333333333
Miss,0.479,0.116,0.843,0.177,25.601,-0.5,27.84615384615385
Hit,0.458,0.089,0.827,0.18,27.623,-0.5,27.84615384615385
RP,0.469,0.112,0.826,0.173,23.368,-0.5,27.84615384615385
FTI,0.394,0.006,0.782,0.191,34.99,-0.5,27.84615384615385
Miss,0.399,0.112,0.686,0.139,25.813,-0.5,28.85897435897436
Hit,0.395,0.104,0.687,0.142,28.007,-0.5,28.85897435897436
RP,0.403,0.122,0.685,0.136,23.396,-0.5,28.85897435897436
FTI,0.335,0.028,0.643,0.152,36.05,-0.5,28.85897435897436
Miss,0.326,0.105,0.546,0.107,26.082,-0.5,29.871794871794872
Hit,0.328,0.104,0.553,0.11,28.497,-0.5,29.871794871794872
RP,0.341,0.125,0.557,0.104,23.433,-0.5,29.871794871794872
FTI,0.28,0.043,0.518,0.117,37.414,-0.5,29.871794871794872
Miss,0.263,0.096,0.43,0.081,26.419,-0.5,30.884615384615387
Hit,0.264,0.094,0.434,0.083,29.114,-0.5,30.884615384615387
RP,0.282,0.12,0.445,0.079,23.479,-0.5,30.884615384615387
FTI,0.229,0.048,0.41,0.09,39.15,-0.5,30.884615384615387
Miss,0.212,0.087,0.337,0.061,26.786,-0.5,31.897435897435894
Hit,0.209,0.081,0.337,0.063,29.79,-0.5,31.897435897435894
RP,0.227,0.105,0.349,0.059,23.528,-0.5,31.897435897435894
FTI,0.183,0.046,0.32,0.068,41.077,-0.5,31.897435897435894
Miss,0.169,0.075,0.262,0.045,27.035,-0.5,32.91025641025641
Hit,0.163,0.068,0.258,0.047,30.249,-0.5,32.91025641025641
RP,0.176,0.085,0.266,0.044,23.561,-0.5,32.91025641025641
FTI,0.144,0.041,0.246,0.051,42.402,-0.5,32.91025641025641
Miss,0.131,0.062,0.2,0.033,27.048,-0.5,33.92307692307692
Hit,0.125,0.054,0.195,0.034,30.273,-0.5,33.92307692307692
RP,0.132,0.065,0.199,0.032,23.562,-0.5,33.92307692307692
FTI,0.112,0.037,0.188,0.037,42.473,-0.5,33.92307692307692
Miss,0.098,0.048,0.149,0.024,26.919,-0.5,34.93589743589744
Hit,0.091,0.04,0.143,0.025,30.036,-0.5,34.93589743589744
RP,0.096,0.047,0.145,0.024,23.545,-0.5,34.93589743589744
FTI,0.087,0.032,0.142,0.027,41.787,-0.5,34.93589743589744
Miss,0.071,0.035,0.107,0.018,26.854,-0.5,35.94871794871795
Hit,0.063,0.027,0.1,0.018,29.916,-0.5,35.94871794871795
RP,0.068,0.033,0.103,0.017,23.536,-0.5,35.94871794871795
FTI,0.066,0.027,0.106,0.02,41.442,-0.5,35.94871794871795
Miss,0.049,0.024,0.074,0.012,26.981,-0.5,36.96153846153846
Hit,0.042,0.016,0.068,0.013,30.15,-0.5,36.96153846153846
RP,0.047,0.023,0.072,0.012,23.554,-0.5,36.96153846153846
FTI,0.048,0.02,0.076,0.014,42.116,-0.5,36.96153846153846
Miss,0.033,0.015,0.05,0.008,27.29,-0.5,37.97435897435897
Hit,0.027,0.009,0.044,0.009,30.722,-0.5,37.97435897435897
RP,0.032,0.015,0.049,0.008,23.596,-0.5,37.97435897435897
FTI,0.033,0.013,0.052,0.009,43.773,-0.5,37.97435897435897
Miss,0.021,0.009,0.032,0.006,27.661,-0.5,38.987179487179496
Hit,0.016,0.005,0.028,0.006,31.411,-0.5,38.987179487179496
RP,0.021,0.01,0.031,0.005,23.646,-0.5,38.987179487179496
FTI,0.021,0.008,0.033,0.006,45.794,-0.5,38.987179487179496
Miss,0.012,0.005,0.019,0.003,27.986,-0.5,40.0
Hit,0.01,0.003,0.017,0.004,32.018,-0.5,40.0
RP,0.013,0.006,0.02,0.003,23.689,-0.5,40.0
FTI,0.012,0.004,0.02,0.004,47.596,-0.5,40.0
Miss,2.334,0.355,4.313,0.963,26.386,-0.45,0.5
Hit,2.549,0.53,4.568,0.987,29.063,-0.45,0.5
RP,2.602,0.669,4.535,0.936,23.465,-0.45,0.5
FTI,3.983,1.833,6.132,1.063,39.026,-0.45,0.5
Miss,0.946,0.304,1.589,0.313,26.923,-0.45,1.5128205128205128
Hit,1.116,0.459,1.774,0.322,30.051,-0.45,1.5128205128205128
RP,1.106,0.481,1.731,0.303,23.537,-0.45,1.5128205128205128
FTI,1.288,0.583,1.994,0.35,41.851,-0.45,1.5128205128205128
Miss,0.794,0.365,1.223,0.209,26.935,-0.45,2.525641025641025
Hit,0.73,0.291,1.168,0.215,30.073,-0.45,2.525641025641025
RP,0.853,0.435,1.27,0.202,23.54,-0.45,2.525641025641025
FTI,0.838,0.368,1.309,0.233,41.912,-0.45,2.525641025641025
Miss,0.79,0.484,1.096,0.149,26.995,-0.45,3.5384615384615383
Hit,0.898,0.585,1.211,0.153,30.186,-0.45,3.5384615384615383
RP,0.772,0.474,1.069,0.144,23.545,-0.45,3.5384615384615383
FTI,0.688,0.352,1.025,0.167,42.243,-0.45,3.5384615384615383
Miss,0.868,0.588,1.148,0.137,28.845,-0.45,4.55128205128205
Hit,0.968,0.679,1.258,0.142,33.659,-0.45,4.55128205128205
RP,0.842,0.573,1.112,0.13,23.777,-0.45,4.55128205128205
FTI,0.756,0.437,1.075,0.159,52.617,-0.45,4.55128205128205
Miss,1.015,0.716,1.313,0.147,36.902,-0.45,5.564102564102564
Hit,1.002,0.683,1.32,0.159,49.585,-0.45,5.564102564102564
RP,0.984,0.709,1.258,0.133,24.729,-0.45,5.564102564102564
FTI,1.024,0.643,1.405,0.192,106.313,-0.45,5.564102564102564
Miss,1.317,0.88,1.753,0.215,32.722,-0.45,6.5769230769230775
Hit,1.216,0.757,1.675,0.227,41.193,-0.45,6.5769230769230775
RP,1.211,0.801,1.622,0.199,24.229,-0.45,6.5769230769230775
FTI,1.479,0.95,2.009,0.266,76.983,-0.45,6.5769230769230775
Miss,1.769,1.104,2.433,0.325,28.519,-0.45,7.589743589743589
Hit,1.632,0.946,2.317,0.337,33.067,-0.45,7.589743589743589
RP,1.57,0.93,2.21,0.31,23.712,-0.45,7.589743589743589
FTI,1.722,0.968,2.475,0.375,50.871,-0.45,7.589743589743589
Miss,2.16,1.411,2.908,0.365,28.0,-0.45,8.602564102564102
Hit,2.044,1.274,2.813,0.378,32.091,-0.45,8.602564102564102
RP,1.884,1.161,2.608,0.35,23.645,-0.45,8.602564102564102
FTI,1.835,0.995,2.675,0.418,47.926,-0.45,8.602564102564102
Miss,2.365,1.664,3.067,0.343,29.141,-0.45,9.615384615384617
Hit,2.205,1.48,2.931,0.357,34.242,-0.45,9.615384615384617
RP,2.038,1.365,2.711,0.326,23.793,-0.45,9.615384615384617
FTI,1.937,1.133,2.741,0.401,54.469,-0.45,9.615384615384617
Miss,2.243,1.677,2.808,0.277,30.926,-0.45,10.628205128205126
Hit,2.05,1.46,2.64,0.291,37.667,-0.45,10.628205128205126
RP,1.909,1.372,2.446,0.26,24.02,-0.45,10.628205128205126
FTI,1.827,1.159,2.494,0.334,65.307,-0.45,10.628205128205126
Miss,1.846,1.454,2.239,0.193,33.674,-0.45,11.64102564102564
Hit,1.682,1.268,2.097,0.205,43.109,-0.45,11.64102564102564
RP,1.568,1.202,1.935,0.178,24.318,-0.45,11.64102564102564
FTI,1.504,1.022,1.986,0.242,83.574,-0.45,11.64102564102564
Miss,1.396,1.134,1.657,0.129,36.882,-0.45,12.653846153846152
Hit,1.284,1.004,1.563,0.139,49.685,-0.45,12.653846153846152
RP,1.214,0.974,1.455,0.117,24.615,-0.45,12.653846153846152
FTI,1.15,0.815,1.485,0.169,107.081,-0.45,12.653846153846152
Miss,1.054,0.859,1.249,0.096,37.923,-0.45,13.666666666666664
Hit,0.986,0.776,1.195,0.104,51.808,-0.45,13.666666666666664
RP,0.964,0.785,1.142,0.087,24.747,-0.45,13.666666666666664
FTI,0.892,0.639,1.144,0.127,114.795,-0.45,13.666666666666664
Miss,0.867,0.684,1.049,0.09,35.214,-0.45,14.67948717948718
Hit,0.818,0.624,1.011,0.096,46.165,-0.45,14.67948717948718
RP,0.823,0.654,0.992,0.082,24.527,-0.45,14.67948717948718
FTI,0.755,0.527,0.984,0.115,94.119,-0.45,14.67948717948718
Miss,0.793,0.594,0.993,0.098,32.124,-0.45,15.692307692307693
Hit,0.741,0.532,0.949,0.103,39.976,-0.45,15.692307692307693
RP,0.756,0.568,0.944,0.091,24.191,-0.45,15.692307692307693
FTI,0.717,0.478,0.957,0.12,72.809,-0.45,15.692307692307693
Miss,0.773,0.547,0.999,0.111,29.796,-0.45,16.705128205128204
Hit,0.708,0.473,0.943,0.116,35.457,-0.45,16.705128205128204
RP,0.731,0.514,0.947,0.105,23.909,-0.45,16.705128205128204
FTI,0.738,0.476,1.001,0.131,58.173,-0.45,16.705128205128204
Miss,0.769,0.505,1.034,0.129,27.886,-0.45,17.71794871794872
Hit,0.695,0.423,0.967,0.134,31.841,-0.45,17.71794871794872
RP,0.729,0.473,0.985,0.124,23.666,-0.45,17.71794871794872
FTI,0.782,0.486,1.079,0.147,47.093,-0.45,17.71794871794872
Miss,0.773,0.454,1.092,0.155,26.62,-0.45,18.73076923076923
Hit,0.693,0.368,1.019,0.159,29.489,-0.45,18.73076923076923
RP,0.739,0.427,1.05,0.151,23.501,-0.45,18.73076923076923
FTI,0.821,0.472,1.169,0.172,40.228,-0.45,18.73076923076923
Miss,0.786,0.4,1.173,0.188,26.01,-0.45,19.743589743589748
Hit,0.701,0.307,1.094,0.192,28.369,-0.45,19.743589743589748
RP,0.746,0.368,1.125,0.183,23.42,-0.45,19.743589743589748
FTI,0.835,0.419,1.252,0.205,37.063,-0.45,19.743589743589748
Miss,0.807,0.349,1.264,0.223,25.747,-0.45,20.756410256410252
Hit,0.709,0.243,1.174,0.227,27.889,-0.45,20.756410256410252
RP,0.743,0.293,1.192,0.217,23.386,-0.45,20.756410256410252
FTI,0.826,0.336,1.316,0.242,35.728,-0.45,20.756410256410252
Miss,0.821,0.299,1.343,0.254,25.604,-0.45,21.76923076923077
Hit,0.708,0.179,1.238,0.258,27.63,-0.45,21.76923076923077
RP,0.727,0.215,1.239,0.248,23.367,-0.45,21.76923076923077
FTI,0.805,0.248,1.361,0.274,35.012,-0.45,21.76923076923077
Miss,0.812,0.247,1.378,0.275,25.533,-0.45,22.78205128205128
Hit,0.69,0.116,1.264,0.28,27.5,-0.45,22.78205128205128
RP,0.702,0.147,1.257,0.269,23.358,-0.45,22.78205128205128
FTI,0.779,0.177,1.381,0.297,34.657,-0.45,22.78205128205128
Miss,0.772,0.195,1.349,0.28,25.553,-0.45,23.794871794871803
Hit,0.65,0.064,1.236,0.286,27.536,-0.45,23.794871794871803
RP,0.669,0.102,1.236,0.274,23.361,-0.45,23.794871794871803
FTI,0.745,0.13,1.36,0.303,34.753,-0.45,23.794871794871803
Miss,0.706,0.156,1.255,0.267,25.654,-0.45,24.80769230769231
Hit,0.596,0.038,1.154,0.272,27.719,-0.45,24.80769230769231
RP,0.624,0.085,1.163,0.261,23.375,-0.45,24.80769230769231
FTI,0.691,0.104,1.277,0.289,35.255,-0.45,24.80769230769231
Miss,0.626,0.14,1.113,0.236,25.773,-0.45,25.820512820512818
Hit,0.538,0.044,1.033,0.241,27.935,-0.45,25.820512820512818
RP,0.565,0.088,1.042,0.231,23.391,-0.45,25.820512820512818
FTI,0.613,0.092,1.134,0.257,35.85,-0.45,25.820512820512818
Miss,0.546,0.143,0.949,0.196,25.831,-0.45,26.83333333333333
Hit,0.484,0.074,0.895,0.2,28.04,-0.45,26.83333333333333
RP,0.497,0.101,0.892,0.191,23.399,-0.45,26.83333333333333
FTI,0.524,0.091,0.957,0.213,36.14,-0.45,26.83333333333333
Miss,0.47,0.15,0.791,0.156,25.803,-0.45,27.84615384615385
Hit,0.432,0.106,0.757,0.159,27.988,-0.45,27.84615384615385
RP,0.428,0.114,0.742,0.152,23.395,-0.45,27.84615384615385
FTI,0.439,0.095,0.782,0.169,35.999,-0.45,27.84615384615385
Miss,0.4,0.15,0.65,0.122,25.764,-0.45,28.85897435897436
Hit,0.375,0.121,0.629,0.124,27.919,-0.45,28.85897435897436
RP,0.367,0.122,0.612,0.119,23.389,-0.45,28.85897435897436
FTI,0.366,0.098,0.634,0.132,35.809,-0.45,28.85897435897436
Miss,0.335,0.139,0.531,0.096,25.833,-0.45,29.871794871794872
Hit,0.314,0.115,0.514,0.097,28.044,-0.45,29.871794871794872
RP,0.314,0.121,0.506,0.093,23.398,-0.45,29.871794871794872
FTI,0.307,0.096,0.517,0.104,36.155,-0.45,29.871794871794872
Miss,0.277,0.121,0.432,0.076,26.054,-0.45,30.884615384615387
Hit,0.256,0.097,0.414,0.077,28.447,-0.45,30.884615384615387
RP,0.265,0.113,0.417,0.074,23.428,-0.45,30.884615384615387
FTI,0.256,0.088,0.423,0.083,37.276,-0.45,30.884615384615387
Miss,0.226,0.104,0.348,0.06,26.378,-0.45,31.897435897435894
Hit,0.204,0.079,0.329,0.061,29.04,-0.45,31.897435897435894
RP,0.217,0.097,0.337,0.058,23.472,-0.45,31.897435897435894
FTI,0.211,0.078,0.343,0.066,38.944,-0.45,31.897435897435894
Miss,0.182,0.088,0.277,0.046,26.692,-0.45,32.91025641025641
Hit,0.162,0.065,0.259,0.047,29.617,-0.45,32.91025641025641
RP,0.171,0.078,0.263,0.045,23.513,-0.45,32.91025641025641
FTI,0.17,0.066,0.273,0.051,40.587,-0.45,32.91025641025641
Miss,0.144,0.072,0.216,0.035,26.904,-0.45,33.92307692307692
Hit,0.126,0.053,0.2,0.036,30.009,-0.45,33.92307692307692
RP,0.128,0.059,0.198,0.034,23.541,-0.45,33.92307692307692
FTI,0.133,0.055,0.212,0.039,41.714,-0.45,33.92307692307692
Miss,0.11,0.057,0.162,0.026,27.046,-0.45,34.93589743589744
Hit,0.096,0.042,0.15,0.026,30.273,-0.45,34.93589743589744
RP,0.093,0.042,0.144,0.025,23.56,-0.45,34.93589743589744
FTI,0.102,0.044,0.16,0.029,42.476,-0.45,34.93589743589744
Miss,0.079,0.042,0.117,0.018,27.218,-0.45,35.94871794871795
Hit,0.069,0.031,0.108,0.019,30.59,-0.45,35.94871794871795
RP,0.065,0.028,0.102,0.018,23.584,-0.45,35.94871794871795
FTI,0.075,0.033,0.116,0.021,43.397,-0.45,35.94871794871795
Miss,0.054,0.028,0.08,0.013,27.425,-0.45,36.96153846153846
Hit,0.047,0.02,0.074,0.013,30.973,-0.45,36.96153846153846
RP,0.044,0.019,0.07,0.012,23.612,-0.45,36.96153846153846
FTI,0.052,0.023,0.081,0.014,44.511,-0.45,36.96153846153846
Miss,0.035,0.017,0.052,0.009,27.579,-0.45,37.97435897435897
Hit,0.03,0.012,0.048,0.009,31.258,-0.45,37.97435897435897
RP,0.03,0.013,0.047,0.008,23.634,-0.45,37.97435897435897
FTI,0.034,0.015,0.054,0.01,45.345,-0.45,37.97435897435897
Miss,0.021,0.01,0.033,0.005,27.636,-0.45,38.987179487179496
Hit,0.018,0.007,0.03,0.006,31.363,-0.45,38.987179487179496
RP,0.019,0.008,0.03,0.005,23.642,-0.45,38.987179487179496
FTI,0.022,0.009,0.034,0.006,45.655,-0.45,38.987179487179496
Miss,0.012,0.005,0.019,0.003,27.637,-0.45,40.0
Hit,0.011,0.004,0.018,0.004,31.365,-0.45,40.0
RP,0.012,0.005,0.019,0.003,23.643,-0.45,40.0
FTI,0.013,0.005,0.021,0.004,45.66,-0.45,40.0
Miss,2.347,0.356,4.338,0.969,26.438,-0.4000000000000001,0.5
Hit,2.578,0.547,4.609,0.993,29.158,-0.4000000000000001,0.5
RP,2.608,0.663,4.552,0.941,23.472,-0.4000000000000001,0.5
FTI,4.053,1.889,6.218,1.07,39.297,-0.4000000000000001,0.5
Miss,0.944,0.314,1.575,0.307,26.644,-0.4000000000000001,1.5128205128205128
Hit,1.138,0.494,1.782,0.315,29.537,-0.4000000000000001,1.5128205128205128
RP,1.107,0.492,1.722,0.298,23.5,-0.4000000000000001,1.5128205128205128
FTI,1.278,0.589,1.966,0.341,40.374,-0.4000000000000001,1.5128205128205128
Miss,0.796,0.361,1.231,0.212,27.051,-0.4000000000000001,2.525641025641025
Hit,0.735,0.29,1.181,0.218,30.286,-0.4000000000000001,2.525641025641025
RP,0.863,0.44,1.287,0.205,23.555,-0.4000000000000001,2.525641025641025
FTI,0.798,0.319,1.277,0.237,42.529,-0.4000000000000001,2.525641025641025
Miss,0.796,0.494,1.098,0.147,26.985,-0.4000000000000001,3.5384615384615383
Hit,0.895,0.586,1.204,0.151,30.168,-0.4000000000000001,3.5384615384615383
RP,0.77,0.476,1.063,0.142,23.544,-0.4000000000000001,3.5384615384615383
FTI,0.708,0.376,1.04,0.164,42.191,-0.4000000000000001,3.5384615384615383
Miss,0.881,0.608,1.154,0.134,29.668,-0.4000000000000001,4.55128205128205
Hit,0.982,0.699,1.265,0.139,35.227,-0.4000000000000001,4.55128205128205
RP,0.832,0.571,1.094,0.126,23.88,-0.4000000000000001,4.55128205128205
FTI,0.814,0.498,1.129,0.158,57.484,-0.4000000000000001,4.55128205128205
Miss,1.04,0.726,1.355,0.155,39.306,-0.4000000000000001,5.564102564102564
Hit,1.028,0.69,1.367,0.169,54.548,-0.4000000000000001,5.564102564102564
RP,1.002,0.716,1.287,0.139,24.998,-0.4000000000000001,5.564102564102564
FTI,1.069,0.658,1.48,0.208,124.602,-0.4000000000000001,5.564102564102564
